Fecha: 04/05/2023	 Hora:  09:00	Temperature (°C): 17.1	Wind Speed (km/h): 13	Wind Direction: West	Gust (km/h): 21	Gust Direction: West	Precipitation (mm): 0.0	Pressure (hPa): 959.8	Tendency (hPa): 1.1	Humidity (%): 63.0
Fecha: 04/05/2023	 Hora:  08:00	Temperature (°C): 15.1	Wind Speed (km/h): 5	Wind Direction: South-west	Gust (km/h): 15	Gust Direction: West	Precipitation (mm): 0.0	Pressure (hPa): 959.6	Tendency (hPa): 1.4	Humidity (%): 73.0
Fecha: 04/05/2023	 Hora:  07:00	Temperature (°C): 15.4	Wind Speed (km/h): 11	Wind Direction: West	Gust (km/h): 21	Gust Direction: West	Precipitation (mm): 0.0	Pressure (hPa): 959.0	Tendency (hPa): 1.2	Humidity (%): 72.0
Fecha: 04/05/2023	 Hora:  06:00	Temperature (°C): 16.2	Wind Speed (km/h): 17	Wind Direction: West	Gust (km/h): 32	Gust Direction: West	Precipitation (mm): 0.0	Pressure (hPa): 958.7	Tendency (hPa): 1.4	Humidity (%): 68.0
Fecha: 04/05/2023	 Hora:  05:00	Temperature (°C): 17.0	Wind Speed (km/h): 21	Wind Direction: West	Gust (km/h): 32	Gust Direction: North-west	Precipitation (mm): 0.0	Pressure (hPa): 958.2	Tendency (hPa): 1.1	Humidity (%): 64.0
Fecha: 04/05/2023	 Hora:  04:00	Temperature (°C): 18.0	Wind Speed (km/h): 14	Wind Direction: West	Gust (km/h): 34	Gust Direction: West	Precipitation (mm): 0.0	Pressure (hPa): 957.8	Tendency (hPa): 1.3	Humidity (%): 59.0
Fecha: 04/05/2023	 Hora:  03:00	Temperature (°C): 19.3	Wind Speed (km/h): 23	Wind Direction: West	Gust (km/h): 39	Gust Direction: North-west	Precipitation (mm): 0.0	Pressure (hPa): 957.3	Tendency (hPa): 2.1	Humidity (%): 53.0
Fecha: 04/05/2023	 Hora:  02:00	Temperature (°C): 20.4	Wind Speed (km/h): 21	Wind Direction: West	Gust (km/h): 42	Gust Direction: North-west	Precipitation (mm): 0.0	Pressure (hPa): 957.1	Tendency (hPa): 2.5	Humidity (%): 47.0
Fecha: 04/05/2023	 Hora:  01:00	Temperature (°C): 21.8	Wind Speed (km/h): 15	Wind Direction: West	Gust (km/h): 33	Gust Direction: West	Precipitation (mm): 0.0	Pressure (hPa): 956.5	Tendency (hPa): 2.7	Humidity (%): 38.0
Fecha: 04/05/2023	 Hora:  00:00	Temperature (°C): 24.3	Wind Speed (km/h): 19	Wind Direction: South-west	Gust (km/h): 30	Gust Direction: West	Precipitation (mm): 0.0	Pressure (hPa): 955.2	Tendency (hPa): 2.0	Humidity (%): 26.0
Fecha: 03/05/2023	 Hora:  23:00	Temperature (°C): 24.5	Wind Speed (km/h): 14	Wind Direction: West	Gust (km/h): 22	Gust Direction: South-west	Precipitation (mm): 0.0	Pressure (hPa): 954.6	Tendency (hPa): 2.2	Humidity (%): 24.0
Fecha: 03/05/2023	 Hora:  22:00	Temperature (°C): 26.0	Wind Speed (km/h): 10	Wind Direction: South-west	Gust (km/h): 24	Gust Direction: South-west	Precipitation (mm): 0.0	Pressure (hPa): 953.8	Tendency (hPa): 1.6	Humidity (%): 19.0
